"ID","Oneida","Dialect","Oneida Audio","English","Oneida Example","Oneida Example Audio","Example in English","Image","Tags"
"881","tetsya’nyánawʌk","Oneida (Canada)","[sound:Oneida-881.mp3]","you two put on your mittens",,,,,"Oneida_(Canada) Clothes"
"882","tehsa’nyánawʌk","Oneida (Canada)","[sound:Oneida-882.mp3]","put on your mittens",,,,,"Oneida_(Canada) Clothes"
"883","tsyana’alo:lók","Oneida (Canada)","[sound:Oneida-883.mp3]","you two put your hat on",,,,,"Oneida_(Canada) Clothes"
"884","sana’alo:lók","Oneida (Canada)","[sound:Oneida-884.mp3]","put your hat on",,,,,"Oneida_(Canada) Clothes"
"885","tsyatyátahwit","Oneida (Canada)","[sound:Oneida-885.mp3]","you two put on your dress, shirt, or coat",,,,,"Oneida_(Canada) Clothes"
"886","satyátahwit","Oneida (Canada)","[sound:Oneida-886.mp3]","put on your dress, shirt, or coat",,,,,"Oneida_(Canada) Clothes"
"887","tetsyaláhtan","Oneida (Canada)","[sound:Oneida-887.mp3]","you two put on your shoes",,,,,"Oneida_(Canada) Clothes"
"888","tehsalátan","Oneida (Canada)","[sound:Oneida-888.mp3]","put on your shoes",,,,,"Oneida_(Canada) Clothes"
"889","tetsyalahtah kwané:tan","Oneida (Canada)","[sound:Oneida-889.mp3]","you two put on your boots",,,,,"Oneida_(Canada) Clothes"
"890","tehsalahtah kwané:tan","Oneida (Canada)","[sound:Oneida-890.mp3]","put on your boots",,,,,"Oneida_(Canada) Clothes"
"891","tsyatelhalat á:esniyakʌne̲’","Oneida (Canada)","[sound:Oneida-891.mp3]","you two get ready to go outside",,,,,"Oneida_(Canada) In_The_Morning"
"892","satelhalat ashyá:kʌne̲’","Oneida (Canada)","[sound:Oneida-892.mp3]","get ready to go outside",,,,,"Oneida_(Canada) In_The_Morning"
"893","tsyatketsko ó:nʌ̲","Oneida (Canada)","[sound:Oneida-893.mp3]","you two get up now",,,,,"Oneida_(Canada) In_The_Morning"
"894","satketsko ó:nʌ̲","Oneida (Canada)","[sound:Oneida-894.mp3]","get up now",,,,,"Oneida_(Canada) In_The_Morning"
"895","tsyanuhwetha ó:nʌ̲","Oneida (Canada)","[sound:Oneida-895.mp3]","you two go to bed now",,,,,"Oneida_(Canada) In_The_Morning"
"896","ohalanʌ́:t̲a̲’","Oneida (Canada)","[sound:Oneida-896.mp3]","purple",,,,,"Oneida_(Canada) Colors"
"897","awʌ́:la̲","Oneida (Canada)","[sound:Oneida-897.mp3]","green",,,,,"Oneida_(Canada) Colors"
"898","owiskela̲’","Oneida (Canada)","[sound:Oneida-898.mp3]","white",,,,,"Oneida_(Canada) Colors"
"899","athehsa̲’","Oneida (Canada)","[sound:Oneida-899.mp3]","brown",,,,,"Oneida_(Canada) Colors"
"900","otsí:nkwal","Oneida (Canada)","[sound:Oneida-900.mp3]","yellow",,,,,"Oneida_(Canada) Colors"
"901","ata’kʌla̲’","Oneida (Canada)","[sound:Oneida-901.mp3]","grey",,,,,"Oneida_(Canada) Colors"
"902","sanuhwetha ó:nʌ̲","Oneida (Canada)","[sound:Oneida-902.mp3]","You go to bed now.",,,,,"Oneida_(Canada) Commands"
"903","a'no:wál","Oneida (Canada)","[sound:Oneida-903.mp3]","turtle",,,,,"Oneida_(Canada) Clans"
"904","olú:ya̲’","Oneida (Canada)","[sound:Oneida-904.mp3]","Blue",,,,,"Oneida_(Canada) Colors"
"905","oswʌ́:ta̲’","Oneida (Canada)","[sound:Oneida-905.mp3]","black",,,,,"Oneida_(Canada) Colors"
"906","Yaweku' se'wah","Oneida (Canada)","[sound:Oneida-906.mp3]","It sure is good",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"907","Kwa’ nyo uhte wahyáku","Oneida (Canada)","[sound:Oneida-907.mp3]","The berries must be real good",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"908","Tákʌ kwi ʌsesa’nikulhʌ yʌsanutaklitslú:ti̲","Oneida (Canada)","[sound:Oneida-908.mp3]","Don't forget to add sugar",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"909","Nʌ ki’ ʌwá:tu ʌtawahyá:lite̲’","Oneida (Canada)","[sound:Oneida-909.mp3]","We can have mashed berries now",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"910","Kwah nyo wahyowá:nʌse̲’","Oneida (Canada)","[sound:Oneida-910.mp3]","The berries are sure big",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"911","Sanúte’ kʌ tsi’ kʌ’niyohʌtesha’ tsi’ nú: niwatunyá:ta’ nén awʌhíhte̲’","Oneida (Canada)","[sound:Oneida-911.mp3]","Do you know that strawberries grow on a short plant?",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"912","Nʌ ki’ yahkahewe’ tsi’ niyuhyawas nén awʌhíhte̲’","Oneida (Canada)","[sound:Oneida-912.mp3]","It's now time to pick strawberries.",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"913","teyonutaklítslale̲’","Oneida (Canada)","[sound:Oneida-913.mp3]","It's sweet.",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"914","yotahyú:ni̲","Oneida (Canada)","[sound:Oneida-914.mp3]","Lots of berries",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"915","onutakeli̲","Oneida (Canada)","[sound:Oneida-915.mp3]","Sugar",,,,,"Oneida_(Canada) Food"
"916","wahyohwá:nʌse̲’","Oneida (Canada)","[sound:Oneida-916.mp3]","Big berries",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"917","wahyáku","Oneida (Canada)","[sound:Oneida-917.mp3]","Good fruit",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"918","onikwʌtahla̲’","Oneida (Canada)","[sound:Oneida-918.mp3]","Red",,,,,"Oneida_(Canada) Colors"
"919","kʌ’niyohʌtésha̲’","Oneida (Canada)","[sound:Oneida-919.mp3]","Short plant",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"920","awʌhíhte̲’","Oneida (Canada)","[sound:Oneida-920.mp3]","Strawberry",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
